name,code,division_type,codename,province_code
Châu Thành,831,huyện,huyen_chau_thanh,83
Chợ Lách,832,huyện,huyen_cho_lach,83
Cày Nam,833,huyện,huyen_mo_cay_nam,83
Giồng Trôm,834,huyện,huyen_giong_trom,83
Bình Đại,835,huyện,huyen_binh_dai,83
Ba Tri,836,huyện,huyen_ba_tri,83
Thạnh Phú,837,huyện,huyen_thanh_phu,83
Cày Bắc,838,huyện,huyen_mo_cay_bac,83
Trà Vinh,842,thành phố,thanh_pho_tra_vinh,84
Càng Long,844,huyện,huyen_cang_long,84
Cầu Kè,845,huyện,huyen_cau_ke,84
Tiểu Cần,846,huyện,huyen_tieu_can,84
Châu Thành,847,huyện,huyen_chau_thanh,84
Cầu Ngang,848,huyện,huyen_cau_ngang,84
Trà Cú,849,huyện,huyen_tra_cu,84
Duyên Hải,850,huyện,huyen_duyen_hai,84
Duyên Hải,851,thị xã,thi_xa_duyen_hai,84
Vĩnh Long,855,thành phố,thanh_pho_vinh_long,86
Long Hồ,857,huyện,huyen_long_ho,86
Mang Thít,858,huyện,huyen_mang_thit,86
Vũng Liêm,859,huyện,huyen_vung_liem,86
Tam Bình,860,huyện,huyen_tam_binh,86
Bình Minh,861,thị xã,thi_xa_binh_minh,86
Trà Ôn,862,huyện,huyen_tra_on,86
Bình Tân,863,huyện,huyen_binh_tan,86
Cao Lãnh,866,thành phố,thanh_pho_cao_lanh,87
Sa Đéc,867,thành phố,thanh_pho_sa_dec,87
Hồng Ngự,868,thành phố,thanh_pho_hong_ngu,87
Tân Hồng,869,huyện,huyen_tan_hong,87
Hồng Ngự,870,huyện,huyen_hong_ngu,87
Tam Nông,871,huyện,huyen_tam_nong,87
Tháp Mười,872,huyện,huyen_thap_muoi,87
Cao Lãnh,873,huyện,huyen_cao_lanh,87
Thanh Bình,874,huyện,huyen_thanh_binh,87
Lấp Vò,875,huyện,huyen_lap_vo,87
Lai Vung,876,huyện,huyen_lai_vung,87
Châu Thành,877,huyện,huyen_chau_thanh,87
Long Xuyên,883,thành phố,thanh_pho_long_xuyen,89
Châu Đốc,884,thành phố,thanh_pho_chau_doc,89
An Phú,886,huyện,huyen_an_phu,89
Tân Châu,887,thị xã,thi_xa_tan_chau,89
Phú Tân,888,huyện,huyen_phu_tan,89
Châu Phú,889,huyện,huyen_chau_phu,89
Tịnh Biên,890,huyện,huyen_tinh_bien,89
Tri Tôn,891,huyện,huyen_tri_ton,89
Châu Thành,892,huyện,huyen_chau_thanh,89
Chợ Mới,893,huyện,huyen_cho_moi,89
Thoại Sơn,894,huyện,huyen_thoai_son,89
Rạch Giá,899,thành phố,thanh_pho_rach_gia,91
Hà Tiên,900,thành phố,thanh_pho_ha_tien,91
Kiên Lương,902,huyện,huyen_kien_luong,91
Hòn Đất,903,huyện,huyen_hon_dat,91
Tân Hiệp,904,huyện,huyen_tan_hiep,91
Châu Thành,905,huyện,huyen_chau_thanh,91
Giồng Riềng,906,huyện,huyen_giong_rieng,91
Gò Quao,907,huyện,huyen_go_quao,91
An Biên,908,huyện,huyen_an_bien,91
An Minh,909,huyện,huyen_an_minh,91
Vĩnh Thuận,910,huyện,huyen_vinh_thuan,91
Phú Quốc,911,thành phố,thanh_pho_phu_quoc,91
Kiên Hải,912,huyện,huyen_kien_hai,91
Minh Thượng,913,huyện,huyen_u_minh_thuong,91
Giang Thành,914,huyện,huyen_giang_thanh,91
Ninh Kiều,916,quận,quan_ninh_kieu,92
Ô Môn,917,quận,quan_o_mon,92
Bình Thuỷ,918,quận,quan_binh_thuy,92
Cái Răng,919,quận,quan_cai_rang,92
Thốt Nốt,923,quận,quan_thot_not,92
Vĩnh Thạnh,924,huyện,huyen_vinh_thanh,92
Cờ Đỏ,925,huyện,huyen_co_do,92
Phong Điền,926,huyện,huyen_phong_dien,92
Thới Lai,927,huyện,huyen_thoi_lai,92
Vị Thanh,930,thành phố,thanh_pho_vi_thanh,93
Ngã Bảy,931,thành phố,thanh_pho_nga_bay,93
Thành A,932,huyện,huyen_chau_thanh_a,93
Châu Thành,933,huyện,huyen_chau_thanh,93
Phụng Hiệp,934,huyện,huyen_phung_hiep,93
Vị Thuỷ,935,huyện,huyen_vi_thuy,93
Long Mỹ,936,huyện,huyen_long_my,93
Long Mỹ,937,thị xã,thi_xa_long_my,93
Sóc Trăng,941,thành phố,thanh_pho_soc_trang,94
Châu Thành,942,huyện,huyen_chau_thanh,94
Kế Sách,943,huyện,huyen_ke_sach,94
Mỹ Tú,944,huyện,huyen_my_tu,94
Lao Dung,945,huyện,huyen_cu_lao_dung,94
Long Phú,946,huyện,huyen_long_phu,94
Mỹ Xuyên,947,huyện,huyen_my_xuyen,94
Ngã Năm,948,thị xã,thi_xa_nga_nam,94
Thạnh Trị,949,huyện,huyen_thanh_tri,94
Vĩnh Châu,950,thị xã,thi_xa_vinh_chau,94
Trần Đề,951,huyện,huyen_tran_de,94
Bạc Liêu,954,thành phố,thanh_pho_bac_lieu,95
Hồng Dân,956,huyện,huyen_hong_dan,95
Phước Long,957,huyện,huyen_phuoc_long,95
Vĩnh Lợi,958,huyện,huyen_vinh_loi,95
Giá Rai,959,thị xã,thi_xa_gia_rai,95
Đông Hải,960,huyện,huyen_dong_hai,95
Hoà Bình,961,huyện,huyen_hoa_binh,95
Cà Mau,964,thành phố,thanh_pho_ca_mau,96
U Minh,966,huyện,huyen_u_minh,96
Thới Bình,967,huyện,huyen_thoi_binh,96
Văn Thời,968,huyện,huyen_tran_van_thoi,96
Cái Nước,969,huyện,huyen_cai_nuoc,96
Đầm Dơi,970,huyện,huyen_dam_doi,96
Năm Căn,971,huyện,huyen_nam_can,96
Phú Tân,972,huyện,huyen_phu_tan,96
Ngọc Hiển,973,huyện,huyen_ngoc_hien,96
