name,code,division_type,codename,province_code
Hưng Hà,339,huyện,huyen_hung_ha,22
Đông Hưng,340,huyện,huyen_dong_hung,22
Thái Thụy,341,huyện,huyen_thai_thuy,22
Tiền Hải,342,huyện,huyen_tien_hai,22
Kiến Xương,343,huyện,huyen_kien_xuong,22
Vũ Thư,344,huyện,huyen_vu_thu,22
Phủ Lý,347,thành phố,thanh_pho_phu_ly,23
Duy Tiên,349,thị xã,thi_xa_duy_tien,23
Kim Bảng,350,huyện,huyen_kim_bang,23
Thanh Liêm,351,huyện,huyen_thanh_liem,23
Bình Lục,352,huyện,huyen_binh_luc,23
Lý Nhân,353,huyện,huyen_ly_nhan,23
TP. Nam Định,356,thành phố,thanh_pho_nam_dinh,24
Mỹ Lộc,358,huyện,huyen_my_loc,24
Vụ Bản,359,huyện,huyen_vu_ban,24
Ý Yên,360,huyện,huyen_y_yen,24
Nghĩa Hưng,361,huyện,huyen_nghia_hung,24
Nam Trực,362,huyện,huyen_nam_truc,24
Trực Ninh,363,huyện,huyen_truc_ninh,24
Xuân Trường,364,huyện,huyen_xuan_truong,24
Giao Thủy,365,huyện,huyen_giao_thuy,24
Hải Hậu,366,huyện,huyen_hai_hau,24
TP. Ninh Bình,369,thành phố,thanh_pho_ninh_binh,25
Tam Điệp,370,thành phố,thanh_pho_tam_diep,25
Nho Quan,372,huyện,huyen_nho_quan,25
Gia Viễn,373,huyện,huyen_gia_vien,25
Hoa Lư,374,huyện,huyen_hoa_lu,25
Yên Khánh,375,huyện,huyen_yen_khanh,25
Kim Sơn,376,huyện,huyen_kim_son,25
Yên Mô,377,huyện,huyen_yen_mo,25
TP. Thanh Hóa,380,thành phố,thanh_pho_thanh_hoa,26
Bỉm Sơn,381,thị xã,thi_xa_bim_son,26
Sầm Sơn,382,thành phố,thanh_pho_sam_son,26
Mường Lát,384,huyện,huyen_muong_lat,26
Quan Hóa,385,huyện,huyen_quan_hoa,26
Bá Thước,386,huyện,huyen_ba_thuoc,26
Quan Sơn,387,huyện,huyen_quan_son,26
Lang Chánh,388,huyện,huyen_lang_chanh,26
Ngọc Lặc,389,huyện,huyen_ngoc_lac,26
Cẩm Thủy,390,huyện,huyen_cam_thuy,26
Thạch Thành,391,huyện,huyen_thach_thanh,26
Hà Trung,392,huyện,huyen_ha_trung,26
Vĩnh Lộc,393,huyện,huyen_vinh_loc,26
Yên Định,394,huyện,huyen_yen_dinh,26
Thọ Xuân,395,huyện,huyen_tho_xuan,26
Thường Xuân,396,huyện,huyen_thuong_xuan,26
Triệu Sơn,397,huyện,huyen_trieu_son,26
Thiệu Hóa,398,huyện,huyen_thieu_hoa,26
Hoằng Hóa,399,huyện,huyen_hoang_hoa,26
Hậu Lộc,400,huyện,huyen_hau_loc,26
Nga Sơn,401,huyện,huyen_nga_son,26
Như Xuân,402,huyện,huyen_nhu_xuan,26
Như Thanh,403,huyện,huyen_nhu_thanh,26
Nông Cống,404,huyện,huyen_nong_cong,26
Đông Sơn,405,huyện,huyen_dong_son,26
Quảng Xương,406,huyện,huyen_quang_xuong,26
Nghi Sơn,407,thị xã,thi_xa_nghi_son,26
Thành phố Vinh,412,thành phố,thanh_pho_vinh,27
Cửa Lò,413,thị xã,thi_xa_cua_lo,27
Thái Hoà,414,thị xã,thi_xa_thai_hoa,27
Quế Phong,415,huyện,huyen_que_phong,27
Quỳ Châu,416,huyện,huyen_quy_chau,27
Kỳ Sơn,417,huyện,huyen_ky_son,27
Tương Dương,418,huyện,huyen_tuong_duong,27
Nghĩa Đàn,419,huyện,huyen_nghia_dan,27
Quỳ Hợp,420,huyện,huyen_quy_hop,27
Quỳnh Lưu,421,huyện,huyen_quynh_luu,27
Con Cuông,422,huyện,huyen_con_cuong,27
Tân Kỳ,423,huyện,huyen_tan_ky,27
Anh Sơn,424,huyện,huyen_anh_son,27
Diễn Châu,425,huyện,huyen_dien_chau,27
Yên Thành,426,huyện,huyen_yen_thanh,27
Đô Lương,427,huyện,huyen_do_luong,27
Thanh Chương,428,huyện,huyen_thanh_chuong,27
Nghi Lộc,429,huyện,huyen_nghi_loc,27
Nam Đàn,430,huyện,huyen_nam_dan,27
Hưng Nguyên,431,huyện,huyen_hung_nguyen,27
Hoàng Mai,432,thị xã,thi_xa_hoang_mai,27
TP. Hà Tĩnh,436,thành phố,thanh_pho_ha_tinh,28
Hồng Lĩnh,437,thị xã,thi_xa_hong_linh,28
Hương Sơn,439,huyện,huyen_huong_son,28
Đức Thọ,440,huyện,huyen_duc_tho,28
Vũ Quang,441,huyện,huyen_vu_quang,28
Nghi Xuân,442,huyện,huyen_nghi_xuan,28
Can Lộc,443,huyện,huyen_can_loc,28
Hương Khê,444,huyện,huyen_huong_khe,28
Thạch Hà,445,huyện,huyen_thach_ha,28
Cẩm Xuyên,446,huyện,huyen_cam_xuyen,28
Kỳ Anh,447,huyện,huyen_ky_anh,28
Lộc Hà,448,huyện,huyen_loc_ha,28
Kỳ Anh,449,thị xã,thi_xa_ky_anh,28
Đồng Hới,450,thành phố,thanh_pho_dong_hoi,29
Minh Hóa,452,huyện,huyen_minh_hoa,29
Tuyên Hóa,453,huyện,huyen_tuyen_hoa,29
Quảng Trạch,454,huyện,huyen_quang_trach,29
Bố Trạch,455,huyện,huyen_bo_trach,29
H. Quảng Ninh,456,huyện,huyen_quang_ninh,29
Lệ Thủy,457,huyện,huyen_le_thuy,29
Ba Đồn,458,thị xã,thi_xa_ba_don,29
Đông Hà,461,thành phố,thanh_pho_dong_ha,30
TX. Quảng Trị,462,thị xã,thi_xa_quang_tri,30
Vĩnh Linh,464,huyện,huyen_vinh_linh,30
Hướng Hóa,465,huyện,huyen_huong_hoa,30
Gio Linh,466,huyện,huyen_gio_linh,30
Đa Krông,467,huyện,huyen_da_krong,30
Cam Lộ,468,huyện,huyen_cam_lo,30
Triệu Phong,469,huyện,huyen_trieu_phong,30
Hải Lăng,470,huyện,huyen_hai_lang,30
Cồn Cỏ,471,huyện,huyen_con_co,30
Thành phố Huế,474,thành phố,thanh_pho_hue,31
Phong Điền,476,huyện,huyen_phong_dien,31
Quảng Điền,477,huyện,huyen_quang_dien,31
Phú Vang,478,huyện,huyen_phu_vang,31
Hương Thủy,479,thị xã,thi_xa_huong_thuy,31
Hương Trà,480,thị xã,thi_xa_huong_tra,31
A Lưới,481,huyện,huyen_a_luoi,31
Phú Lộc,482,huyện,huyen_phu_loc,31
Nam Đông,483,huyện,huyen_nam_dong,31
Q. Liên Chiểu,490,quận,quan_lien_chieu,32
Q. Thanh Khê,491,quận,quan_thanh_khe,32
Q. Hải Châu,492,quận,quan_hai_chau,32
Q. Sơn Trà,493,quận,quan_son_tra,32
Q. Ngũ Hành Sơn,494,quận,quan_ngu_hanh_son,32
Q. Cẩm Lệ,495,quận,quan_cam_le,32
Hòa Vang,497,huyện,huyen_hoa_vang,32
Hoàng Sa,498,huyện,huyen_hoang_sa,32
Tam Kỳ,502,thành phố,thanh_pho_tam_ky,33
TP. Hội An,503,thành phố,thanh_pho_hoi_an,33
Tây Giang,504,huyện,huyen_tay_giang,33
Đông Giang,505,huyện,huyen_dong_giang,33
Đại Lộc,506,huyện,huyen_dai_loc,33
Điện Bàn,507,thị xã,thi_xa_dien_ban,33
Duy Xuyên,508,huyện,huyen_duy_xuyen,33
Quế Sơn,509,huyện,huyen_que_son,33
Nam Giang,510,huyện,huyen_nam_giang,33
Phước Sơn,511,huyện,huyen_phuoc_son,33
Hiệp Đức,512,huyện,huyen_hiep_duc,33
Thăng Bình,513,huyện,huyen_thang_binh,33
Tiên Phước,514,huyện,huyen_tien_phuoc,33
Bắc Trà My,515,huyện,huyen_bac_tra_my,33
Nam Trà My,516,huyện,huyen_nam_tra_my,33
Núi Thành,517,huyện,huyen_nui_thanh,33
Phú Ninh,518,huyện,huyen_phu_ninh,33
Nông Sơn,519,huyện,huyen_nong_son,33
Quảng Ngãi,522,thành phố,thanh_pho_quang_ngai,51
Bình Sơn,524,huyện,huyen_binh_son,51
Trà Bồng,525,huyện,huyen_tra_bong,51
Sơn Tịnh,527,huyện,huyen_son_tinh,51
Tư Nghĩa,528,huyện,huyen_tu_nghia,51
Sơn Hà,529,huyện,huyen_son_ha,51
Sơn Tây,530,huyện,huyen_son_tay,51
Minh Long,531,huyện,huyen_minh_long,51
Nghĩa Hành,532,huyện,huyen_nghia_hanh,51
Mộ Đức,533,huyện,huyen_mo_duc,51
Đức Phổ,534,thị xã,thi_xa_duc_pho,51
Ba Tơ,535,huyện,huyen_ba_to,51
Lý Sơn,536,huyện,huyen_ly_son,51
